,XAUUSD_Close,XAUUSD_Open,XAUUSD_High,XAUUSD_Low,DXY_Close,SPX_Close,US10Y_Close,VIX_Close
2010-07-16,1192.85,1207.4,1210.8,1186.25,82.486,1064.88,2.99699998,26.25
2010-07-20,1191.02,1182.75,1193.65,1175.61,82.747,1083.48,2.96099997,23.92999
2010-07-21,1184.89,1190.04,1197.95,1183.6,83.393,1069.59,2.954,25.64
2010-07-22,1195.35,1184.9,1201.15,1181.3,82.595,1093.67,2.88199997,24.63
2010-07-23,1189.05,1194.25,1204.05,1184.3,82.464,1102.66,2.93199992,23.47
2010-07-27,1159.65,1182.2,1187.15,1158.3,82.185,1113.84,2.99600005,23.19
2010-07-28,1163.15,1162.32,1166.1,1157.05,82.179,1106.13,3.04900002,24.25
2010-07-29,1167.3,1163.0,1169.55,1159.6,81.636,1101.53,2.99000001,24.13
2010-07-30,1181.05,1167.25,1183.55,1166.05,81.539,1101.6,2.98799992,23.5
2010-08-03,1185.95,1182.35,1190.55,1179.7,80.596,1120.46,2.96300006,22.63
2010-08-04,1193.95,1184.7,1203.0,1184.7,80.892,1127.24,2.90899992,22.21001
2010-08-05,1194.3,1193.95,1200.25,1190.15,80.825,1125.81,2.95300007,22.10001
2010-08-06,1205.3,1194.3,1211.0,1192.65,80.407,1121.64,2.9059999,21.74001
2010-08-10,1203.4,1200.3,1207.6,1190.85,80.799,1121.06,2.829,22.37
2010-08-11,1198.55,1202.2,1207.95,1192.65,82.29,1089.47,2.76799989,25.39
2010-08-12,1212.87,1197.85,1216.5,1197.6,82.635,1083.61,2.68700004,25.73
2010-08-13,1212.87,1213.8,1217.6,1210.7,82.948,1079.25,2.75300002,26.24001
2010-08-17,1224.9,1223.9,1229.05,1222.75,82.226,1092.54,2.57299995,24.33
2010-08-18,1229.35,1224.6,1232.4,1217.4,82.223,1094.16,2.64100003,24.59
2010-08-19,1232.3,1229.25,1237.4,1228.05,82.447,1075.63,2.63800001,26.44
2010-08-20,1227.7,1232.25,1233.8,1222.35,83.057,1071.69,2.57500005,25.49001
2010-08-24,1229.52,1223.75,1235.55,1210.3,83.146,1051.87,2.602,27.46001
2010-08-25,1239.75,1228.4,1241.4,1228.4,83.261,1055.33,2.48799992,26.7
